ID,Date,Location,Product,Item type,Pending/Not Pending,Grievance,User's satisfaction
1,3/2/2020,California,Tissue,Toiletries,Yes,Electricity,Yes
2,3/2/2020,California,Tissue,Toiletries,Yes,Electricity,Yes
3,3/4/2020,New York,Tissue,Toiletries,No,Electricity,No
4,3/5/2020,New York,Face mask,Protection,No,Security,Yes
5,3/6/2020,Texas,Face mask,Protection,No,Security,Null
6,3/7/2020,Florida,Face mask,Protection,No,Security,Yes
7,3/8/2020,New York,Null,Null,Null,Electricity,Yes
8,3/9/2020,Ohio,Null,Null,Null,Garbage Disposal,Null
9,3/10/2020,New York,Null,Null,Null,Garbage Disposal,Yes
10,3/11/2020,New York,Face mask,Protection,No,Garbage Disposal,Null
11,3/12/2020,New Jersey,Face mask,Protection,No,Null,Yes
12,3/13/2020,New York,Face mask,Protection,No,Security,Yes
13,3/14/2020,New York,Face mask,Protection,No,Security,Yes
14,3/15/2020,Michigan,Face mask,Protection,No,Null,No
15,3/16/2020,Pennsylvania,Face mask,Protection,Yes,Security,No
16,3/17/2020,New York,Face mask,Protection,Yes,Medical Help,No
17,3/18/2020,Pennsylvania,Face mask,Protection,Yes,Plumbing,No
18,3/19/2020,New York,Face mask,Protection,Yes,Plumbing,No
19,3/20/2020,Pennsylvania,Face mask,Protection,Yes,Plumbing,No
20,3/21/2020,California,Spinach,Grocery,Yes,Sewage,Yes
21,3/22/2020,Texas,Spinach,Grocery,Yes,Sewage,Yes
22,3/22/2020,New York,Face mask,Protection,No,Null,Yes
23,3/22/2020,Indiana,Soap,Toiletries,No,Sewage,Yes
24,3/23/2020,Florida,Egg,Grocery,Yes,Garbage Disposal,Yes
25,3/23/2020,New York,Face mask,Protection,No,Security,Yes
26,3/23/2020,California,Shampoo,Toiletries,No,Sewage,Yes
27,3/23/2020,New York,Soap,Toiletries,No,Security,Yes
28,3/24/2020,New York,Milk,Grocery,No,Sewage,Yes
29,3/24/2020,New Jersey,Face mask,Protection,No,Medical Help,Yes
30,3/24/2020,New York,Soap,Toiletries,No,Security,Yes
31,3/24/2020,New York,Face mask,Protection,No,Security,Yes
32,3/25/2020,Ohio,Milk,Grocery,No,Garbage Disposal,Yes
33,3/25/2020,New York,Face mask,Protection,No,Plumbing,Yes
34,3/25/2020,New York,Shampoo,Toiletries,No,Garbage Disposal,Yes
35,3/25/2020,Texas,Face mask,Protection,No,Null,Yes
36,3/26/2020,New York,Milk,Grocery,No,Sewage,Yes
37,3/26/2020,New York,Soap,Toiletries,No,Plumbing,Yes
38,3/26/2020,Texas,Chicken,Grocery,No,Garbage Disposal,Yes
39,3/26/2020,Florida,Face mask,Protection,No,Security,Yes
40,3/27/2020,New York,Chicken,Grocery,No,Sewage,Yes
41,3/27/2020,Michigan,Soap,Toiletries,No,Garbage Disposal,Yes
42,3/27/2020,Florida,Null,Null,No,Garbage Disposal,Yes
43,3/27/2020,New York,Spinach,Grocery,No,Electricity,Yes
44,3/28/2020,New Jersey,Fish,Grocery,No,Security,Yes
45,3/28/2020,Pennsylvania,Shampoo,Toiletries,No,Sewage,Yes
46,3/28/2020,New York,Face mask,Protection,No,Null,Yes
47,3/29/2020,New York,Chicken,Grocery,No,Sewage,Yes
48,3/29/2020,California,Soap,Toiletries,No,Sewage,Yes
49,3/29/2020,New York,Face mask,Protection,No,Security,Yes
50,3/30/2020,California,Null,Null,No,Garbage Disposal,Yes
51,3/30/2020,Kentucky,Shampoo,Toiletries,No,Security,Yes
52,3/30/2020,Indiana,Face mask,Protection,No,Electricity,Yes
53,3/31/2020,California,Face mask,Protection,No,Sewage,Yes
54,3/31/2020,Indiana,Chicken,Grocery,Null,Garbage Disposal,Yes
55,3/31/2020,California,Face mask,Protection,No,Electricity,Yes
56,4/1/2020,Indiana,Face mask,Protection,No,Garbage Disposal,Yes
57,4/1/2020,Kentucky,Null,Null,Null,Garbage Disposal,Yes
58,4/2/2020,Kentucky,Face mask,Protection,No,Sewage,Yes
59,4/2/2020,California,Face mask,Protection,No,Garbage Disposal,Yes
60,4/2/2020,New York,Face mask,Protection,No,Electricity,Yes
61,4/3/2020,Indiana,Face mask,Protection,No,Sewage,Yes
62,4/3/2020,New York,Face mask,Protection,No,Null,Yes
63,4/3/2020,New York,Soap,Toiletries,No,Electricity,Yes
64,4/4/2020,Kentucky,Soap,Toiletries,No,Security,Yes
65,4/4/2020,Ohio,Face mask,Protection,No,Security,Yes
66,4/4/2020,New Jersey,Soap,Toiletries,No,Security,Yes
67,4/5/2020,California,Soap,Toiletries,No,Garbage Disposal,Yes
68,4/5/2020,New York,Shampoo,Toiletries,No,Security,Yes
69,4/6/2020,New York,Shampoo,Toiletries,No,Garbage Disposal,Yes
70,4/6/2020,California,Soap,Toiletries,No,Security,Yes
71,4/7/2020,Ohio,Soap,Toiletries,No,Garbage Disposal,Yes
72,4/7/2020,California,Chicken,Grocery,No,Electricity,Yes
73,4/8/2020,New York,Soap,Toiletries,No,Null,Yes
74,4/8/2020,Indiana,Null,Null,No,Security,No
75,4/9/2020,New York,Shampoo,Toiletries,No,Security,Yes
76,4/9/2020,California,Face mask,Protection,No,Electricity,No
77,4/10/2020,New Jersey,Chicken,Grocery,Null,Electricity,Yes
78,4/10/2020,New York,Face mask,Protection,No,Garbage Disposal,Yes
79,4/11/2020,New York,Null,Null,Null,Electricity,Yes
80,4/11/2020,New York,Face mask,Protection,No,Garbage Disposal,Yes
81,4/12/2020,California,Face mask,Protection,No,Security,Yes
82,4/12/2020,Texas,Face mask,Protection,No,Garbage Disposal,Yes
83,4/13/2020,California,Face mask,Protection,No,Security,Yes
84,4/13/2020,Florida,Face mask,Protection,No,Null,Yes
85,4/14/2020,Indiana,Face mask,Protection,No,Security,Yes
86,4/14/2020,Florida,Soap,Toiletries,Null,Null,Yes
87,4/14/2020,New York,Face mask,Protection,No,Security,Yes
88,4/14/2020,New York,Spinach,Grocery,No,Plumbing,Yes
89,4/15/2020,California,Face mask,Protection,No,Electricity,Yes
90,4/15/2020,New York,Chicken,Grocery,No,Security,Yes
91,4/15/2020,New York,Face mask,Protection,No,Security,Yes
92,4/15/2020,California,Spinach,Grocery,No,Plumbing,Yes
93,4/16/2020,New York,Soap,Toiletries,No,Garbage Disposal,Yes
94,4/16/2020,Ohio,Null,Null,No,Security,Yes
95,4/16/2020,New York,Face mask,Protection,No,Null,Yes
96,4/16/2020,California,Egg,Grocery,No,Garbage Disposal,Yes
97,4/17/2020,New York,Soap,Toiletries,No,Garbage Disposal,Yes
98,4/17/2020,New York,Face mask,Protection,No,Security,Yes
99,4/18/2020,Texas,Shampoo,Toiletries,Null,Garbage Disposal,Yes
100,4/18/2020,New York,Face mask,Protection,No,Medical Help,Yes
,,,,,,,
,,,,,,,
